"Source:","C:\Users\penta\Documents\BikeRadar\RFB\Antenna\Antenna.kicad_sch"
"Date:","2023-05-26 00:33:12"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","28"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"AE1, ","1","Antenna","Antenna","Antenna:Antenna_PatchArray4_JLC7628_1.6_5800M","Antenna",""
"C1, C3, C6, ","3","100n","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C2, C13, ","2","10u","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor",""
"C4, ","1","0.5p R","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C5, ","1","22p R","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C7, ","1","8p2","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C8, ","1","4p3 R","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C9, ","1","0.4p R","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C10, ","1","5p6","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C11, ","1","2p2 R","C","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor",""
"C12, ","1","4u7","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor",""
"FB1, FB2, ","2","BLM18PG181SN1D","FerriteBead","Inductor_SMD:L_0603_1608Metric","Ferrite bead",""
"H1, H2, ","2","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_ISO14580_Pad_TopOnly","Mounting Hole with connection",""
"IC2, ","1","SKY67189-396LF","SKY67189-396LF","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm","RF Amplifier",""
"J1, ","1","Conn_Coaxial","Conn_Coaxial","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"J2, ","1","Conn_01x05_Male","Conn_01x05_Male","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical_SMD_Pin1Left","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1","400p R","L","Inductor_SMD:L_0402_1005Metric","Inductor",""
"L2, ","1","6n8","L","Inductor_SMD:L_0402_1005Metric","Inductor",""
"L3, ","1","2n4 R","L","Inductor_SMD:L_0402_1005Metric","Inductor",""
"R2, ","1","3k","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol",""
"R3, ","1","5k1","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol",""
"R4, ","1","20","R_Small","Resistor_SMD:R_0402_1005Metric","Resistor, small symbol",""
"U3, ","1","GRF2101","GRF2101","GRF2101:DFN-6-1.5x1.5_1EP","",""
